image,caption
nm0001416_rm245995520_1959-3-23_2006.jpg,Two women are hugging each other
nm0122716_rm1346947840_1954-10-15_2010.jpg,The man is arguing with the woman
nm0000113_rm1350277376_1964-7-26_2007.jpg,The man is flirting with the woman
nm3595501_rm4059137792_1994-3-1_2011.jpg,The man is arguing with the other man
nm0001701_rm3365963264_1978-9-7_2010.jpg,The man is trying to shoot someone
nm0165101_rm4254564608_1959-12-29_2010.jpg,The family is happy to spend time together
nm0000112_rm3873503744_1953-5-16_2014.jpg,The man is aiming at something
nm0407101_rm2634396928_1976-7-15_2012.jpg,The man is flirting with the woman
nm0000702_rm210354432_1976-3-22_2014.jpg,The man is flirting with the woman
nm0005101_rm2775425024_1973-1-4_2012.jpg,The man is flirting with the woman
nm0000216_rm3632982528_1947-7-30_2015.jpg,The man is playing with the teddy bear
nm0525303_rm3235681536_1962-9-17_2008.jpg,Two men are happy to be together
nm1567113_rm1866694656_1977-3-24_2010.jpg,The man is fighting with the other man
nm0000210_rm4070742272_1967-10-28_2000.jpg,The woman is helping the little girl
nm1503401_rm2388886784_1973-11-0_2010.jpg,The man is surprised by something
nm0001613_rm2003548672_1948-2-28_2003.jpg,The man is flirting with the woman
nm0000702_rm2959115264_1976-3-22_2010.jpg,The man is flirting with the woman
nm1778703_rm1510390272_1982-1-15_2011.jpg,The man is flirting with the woman
nm0000401_rm1524993280_1961-7-30_2000.jpg,The man is worried about something
nm0000216_rm3251555328_1947-7-30_1990.jpg,The man is trying to kill someone
